Course,Title,Author
PHYS 101,Physics for Scientists and Engineers A Strategic Approach,Knight
PHYS 101,Physics for Scientist Engineers Vol. 1 (for UBC),
PHYS 101,Physics for Scientists Vol. 1-5,Knight
PHYS 108/109,Physics (Vol 2),Halliday
PHYS 153,Sears and Zemansky’s University Physics with Modern Physics (Volume A and B),"Young, and Freedman"
PHYS 153,University Physics with modern Physics,"Young, Freedman"
PHYS 153,Sears and Zemansky's University: Physics with Modern Physics Volume A,Hugh D. Young Roger A. Freedman
PHYS 153,Sears and Zemansky's University: Physics with Modern Physics Volume B,Hugh D. Young Roger A. Freedman
PHYS 170,Engineering Mechanics: Statics and Dynamics,Hibbeler
PHYS 170,Engineering Mechanics: Statics and Dynamics,Hibbeler
PHYS 170,Engineering Mechanics Statics & Dynamics,Hibbeler
PHYS 170,Engineering Mechanics Statics & Dynamics,Hibbeler
PHYS 170,Engineering Mechanics Statics & Dynamics,Hibbeler
PHYS 170,Engineering Mechanics: Statics and Dynamics,Hibbeler
PHYS 200,Physics A Strategic Approach,Knight
PHYS 200,Physics A Strategic Approach (Student Workbook),Knight
PHYS 250,Physics A Strategic Approach Volume 5,Knight
PHYS 350,Classical Mechanics,Taylor
POLI,Leviathan,Hobbes
POLI 100,Studying Politics,Dyck
POLI 100,Introduction to Politics,Garner
POLI 100,Intro to Politics,"Gasmon,Lawton"
POLI 100/240,Republic,"Plato, Reeve (trans.)"
POLI 100/240/260,Dogmas and Dreams,Love
POLI 101,Democratizing the Constitution,"Aucoin, Jarvis, and Turnbull"
POLI 101,The Canadian Regime,"Malcomson, Myers"
POLI 220,Cases in Comparative Politics,O'Neil
POLI 220,Essential Readings in Comparative Politics,O'Neil
POLI 240,Two Treatises of Government,Lock (Laslett ed.)
POLI 260,International Relations,Charlton
POLI 320,The Logic of American Politics (with Winning in 2012),"Kernell, Benenson"
POLI 320A,Keeping the Republic,Barbour
POLI 340,The Basic Political Writing,Rousseau
POLI 464C,The end of the Free Market,Bremmer
PSYC 100,Psychology Themes & Variations,Weiten
PSYC 100,Psychology Themes & Variations,Weiten
PSYC 100,Atkinson and Hilgard’s Intro to Psychology,"Noel-Hoeksema, Fredrickson, Loftus, Wagenaar"
PSYC 100,Psychology From Inquiry to Understanding,Lilienfeld
PSYC 100,Psychology: From Inquiry to Understanding,"Lilienfield, Lynn, Namy Woolf, Cramer, Schmaltz"
PSYC 100,Psychology Study Guide,Schacter
PSYC 100,Psychology: From Inquiry to Understanding,"Lilienfield, Lynn, Namy Woolf, Cramer, Schmaltz"
PSYC 100,Psychology: Themes and Variations,Weiten McCann
PSYC 100,Psychology: From Inquiry to Understanding,Lilienfield
PSYC 100/101,Psychology: Themes and Variations,"Weiten, and McCann"
PSYC 100/101/102,Psychology (with solution manual),Myers
PSYC 100/329,Psychology Themes & Variations,Weiten
PSYC 101,Psychology: The Science of Behaviour,Carlson
PSYC 101,Psychology Study Guide,Myers
PSYC 101,Psychology: Themes and Variations + Study Guide,"Weiten, and McCann"
PSYC 101,Psychology The Science of Behaviour,Carlson
PSYC 101,Psychology: The Science of Behaviour,"Carlson, Heth, Miller, Donahoe, Buskist, Martin, Schmaltz"
PSYC 102,Psychology,Lilienfeld
PSYC 102,Psychology: The Pearson Custom Library,n/a
PSYC 102,Psychology: The Adaptive Mind (Chapters 9-16),"Lindsay, Paulhus, and Nairne"
PSYC 102,Psychology,Myers
PSYC 102,Psychology: 1st Canadian Edition,Myers
PSYC 102,The Adaptive Mind,"Lindsay, Belrog"
PSYC 200,Psychology Study Guide: To Accompany Psychology 1st Canadian Edition,Straub
PSYC 200,Psychology: The Science of Behaviour,"Carlson, Heth, Miller, Donahoe, Buskist, Martin, Schmaltz"
PSYC 218,Understanding Statistics in Behavioural Sciences,Pagano
PSYC 308,Social Psychology,"Gilovich, Keltner, Nisbett"
PSYC 308,Social Psychology,"Gilovich, Keltner, Nisbett"
PSYC 315,Developmental Psyhology Childhood and Adolescence,Shaffer
PSYC 360,Gender: Psychological Properties,Brannon
PSYC 367,Sensation and Perception,"Wolfe, Kluender, Levi"
RMST 221,The Celestina,Simpson
RMST 221,The romance of the Rose,Horgan
SCAN 413,crabwalk,Gunter Grass
SCAN 413,Winter's Tales,Isak Dinesen
SCAN 413,The Dogs of Riga,Mankell
SCAN 413,The Great Enigma: New Collected Poems,"Transtromer, Fulton (trans.)"
SCAN 413,The Captive Mind,Milosz
SCI 001,Calculus Early Transcendentals Single Variable,Briggs
SOCI 100,Sociology A Down-to-Earth Approach,Henslin
SOCI 100,Seeing Ourselves,Macionis
SOCI 100,Sociology A Down-to-Earth Approach,Henslin
SOCI 100,Seeing Ourselves,Macionis
soci 100,Making Societies,Roy
SOCI 100,Making Societies,Ray
SOCI 100,Ten Questions A sociological Perspective,"Chartrand, Polimeni, Zhang"
SOCI 240,Introduction to Social Interaction,Bartolic
SOCI 250,Crime and Criminology an Intro,"White, and Haines"
